director,layer_idx,layer_depth_pct,steering_coeff,perplexity,valence_moral_valence,valence_positive_score,valence_negative_score,valence_pos_raw,valence_neg_raw
spielberg,28,0.7,0.5,1.4911,0.0,0.0,0.0,0,0
spielberg,28,0.7,0.5,2.0886,0.5385,0.7692,0.2308,10,3
spielberg,30,0.75,0.5,1.6417,0.0,0.5,0.5,1,1
spielberg,30,0.75,0.5,1.8109,1.0,1.0,0.0,6,0
spielberg,30,0.75,0.5,1.7435,-1.0,0.0,1.0,0,2
spielberg,30,0.75,0.5,2.1645,-1.0,0.0,1.0,0,1
spielberg,30,0.75,0.5,2.35,0.2308,0.6154,0.3846,8,5
spielberg,32,0.8,0.5,1.3939,0.0,0.0,0.0,0,0
spielberg,32,0.8,0.5,2.0649,-1.0,0.0,1.0,0,3
spielberg,32,0.8,0.5,1.9047,-0.3333,0.3333,0.6667,1,2
spielberg,32,0.8,0.5,1.8158,-0.7778,0.1111,0.8889,1,8
spielberg,32,0.8,0.5,1.8874,0.6667,0.8333,0.1667,5,1
spielberg,34,0.85,0.5,1.4962,0.0,0.0,0.0,0,0
spielberg,34,0.85,0.5,2.2283,0.5,0.75,0.25,3,1
spielberg,34,0.85,0.5,2.0703,0.0,0.0,0.0,0,0
spielberg,34,0.85,0.5,2.1989,0.7778,0.8889,0.1111,8,1
spielberg,34,0.85,0.5,2.0742,0.4,0.7,0.3,7,3
spielberg,36,0.9,0.5,1.6104,-1.0,0.0,1.0,0,2
spielberg,36,0.9,0.5,1.8497,1.0,1.0,0.0,1,0
spielberg,36,0.9,0.5,2.1289,0.1111,0.5556,0.4444,5,4
spielberg,36,0.9,0.5,1.8673,-1.0,0.0,1.0,0,5
spielberg,36,0.9,0.5,1.9001,1.0,1.0,0.0,3,0
spielberg,38,0.95,0.5,1.7042,-1.0,0.0,1.0,0,3
spielberg,38,0.95,0.5,1.728,-1.0,0.0,1.0,0,1
spielberg,38,0.95,0.5,2.1556,0.0,0.0,0.0,0,0
spielberg,38,0.95,0.5,2.1315,1.0,1.0,0.0,2,0
spielberg,38,0.95,0.5,2.2439,0.7143,0.8571,0.1429,6,1
