alpha,steering_coeff,perplexity,sim_scorsese,sim_spielberg,valence_moral_valence,valence_positive_score,valence_negative_score,valence_pos_raw,valence_neg_raw,style_n_words,style_n_sentences,style_avg_sentence_len,style_dialogue_density,style_lexical_diversity
0.5,1.0,2.0879,0.8868,0.6814,0.0,0.0,0.0,0,0,300,1,300.0,0.0,0.1567
0.5,1.0,3.032,0.8868,0.6814,0.0,0.0,0.0,0,0,404,11,36.73,0.0,0.1386
0.5,1.5,3.9942,0.8868,0.6814,0.0,0.0,0.0,0,0,359,1,359.0,0.0,0.1086
0.5,1.5,2.8655,0.8868,0.6814,0.0,0.0,0.0,0,0,324,2,162.0,0.0,0.0895
0.5,1.5,3.536,0.8868,0.6814,0.0,0.0,0.0,0,0,374,1,374.0,0.0,0.0856
0.5,1.5,2.8179,0.8868,0.6814,0.0,0.0,0.0,0,0,323,1,323.0,0.0,0.0743
0.5,1.5,2.7936,0.8868,0.6814,0.0,0.0,0.0,0,0,306,1,306.0,0.0,0.085
0.5,2.0,8.8426,0.8868,0.6814,0.0,0.0,0.0,0,0,269,1,269.0,0.0,0.171
0.5,2.0,9.3294,0.8868,0.6814,0.0,0.0,0.0,0,0,286,1,286.0,0.0,0.1748
0.5,2.0,8.8173,0.8868,0.6814,0.0,0.0,0.0,0,0,268,1,268.0,0.0,0.1866
0.5,2.0,7.3707,0.8868,0.6814,0.0,0.0,0.0,0,0,292,1,292.0,0.0,0.1678
0.5,2.0,9.3517,0.8868,0.6814,0.0,0.0,0.0,0,0,297,1,297.0,0.0,0.1818
0.75,0.5,4.6955,0.9798,0.4648,-1.0,0.0,1.0,0,1,388,21,18.48,0.0,0.3763
0.75,0.5,5.0164,0.9798,0.4648,-1.0,0.0,1.0,0,1,382,11,34.73,0.0,0.3351
0.75,0.5,6.3847,0.9798,0.4648,0.0,0.0,0.0,0,0,420,16,26.25,0.8571,0.4
0.75,0.5,6.8042,0.9798,0.4648,-1.0,0.0,1.0,0,6,406,17,23.88,0.0,0.3818
0.75,0.5,5.862,0.9798,0.4648,-0.3333,0.3333,0.6667,1,2,378,14,27.0,0.3333,0.3995
0.75,1.0,1.5751,0.9798,0.4648,0.0,0.0,0.0,0,0,273,4,68.25,0.0,0.1099
0.75,1.0,2.7421,0.9798,0.4648,0.0,0.0,0.0,0,0,373,5,74.6,0.0,0.1609
0.75,1.0,1.8045,0.9798,0.4648,0.0,0.0,0.0,0,0,267,3,89.0,0.0,0.1273
0.75,1.0,2.0263,0.9798,0.4648,0.0,0.0,0.0,0,0,364,2,182.0,0.0,0.1209
0.75,1.0,1.676,0.9798,0.4648,0.0,0.0,0.0,0,0,281,2,140.5,0.0,0.1032
0.75,1.5,5.5811,0.9798,0.4648,0.0,0.0,0.0,0,0,272,1,272.0,0.0,0.1213
0.75,1.5,4.3383,0.9798,0.4648,0.0,0.0,0.0,0,0,282,1,282.0,0.0,0.1135
0.75,1.5,9.3473,0.9798,0.4648,0.0,0.0,0.0,0,0,292,1,292.0,0.0,0.1952
0.75,1.5,3.8364,0.9798,0.4648,0.0,0.0,0.0,0,0,285,1,285.0,0.0,0.1158
0.75,1.5,7.6491,0.9798,0.4648,0.0,0.0,0.0,0,0,291,1,291.0,0.0,0.1718
0.75,2.0,15.4412,0.9798,0.4648,0.0,0.0,0.0,0,0,244,1,244.0,0.0,0.25
0.75,2.0,13.633,0.9798,0.4648,0.0,0.0,0.0,0,0,251,1,251.0,0.0,0.2351
0.75,2.0,15.2618,0.9798,0.4648,0.0,0.0,0.0,0,0,237,1,237.0,0.0,0.2616
0.75,2.0,15.7858,0.9798,0.4648,0.0,0.0,0.0,0,0,228,1,228.0,0.0,0.2939
0.75,2.0,15.5901,0.9798,0.4648,0.0,0.0,0.0,0,0,238,1,238.0,0.0,0.2605
1.0,0.5,2.2111,1.0,0.2897,0.0,0.0,0.0,0,0,398,2,199.0,0.0,0.1432
1.0,0.5,2.4026,1.0,0.2897,-1.0,0.0,1.0,0,1,336,53,6.34,0.0,0.2113
1.0,0.5,2.7467,1.0,0.2897,0.0,0.0,0.0,0,0,369,18,20.5,0.0,0.1734
1.0,0.5,5.7811,1.0,0.2897,-1.0,0.0,1.0,0,14,316,19,16.63,0.0,0.3797
1.0,0.5,2.046,1.0,0.2897,-1.0,0.0,1.0,0,1,460,5,92.0,0.0,0.0957
1.0,1.0,5.0621,1.0,0.2897,0.0,0.0,0.0,0,0,312,1,312.0,0.0,0.0929
1.0,1.0,5.4918,1.0,0.2897,0.0,0.0,0.0,0,0,343,1,343.0,0.0,0.105
1.0,1.0,3.37,1.0,0.2897,0.0,0.0,0.0,0,0,355,1,355.0,0.0,0.0789
1.0,1.0,8.0129,1.0,0.2897,0.0,0.0,0.0,0,0,367,1,367.0,0.0,0.1035
1.0,1.0,8.4934,1.0,0.2897,0.0,0.0,0.0,0,0,319,1,319.0,0.0,0.1348
1.0,1.5,23.7618,1.0,0.2897,0.0,0.0,0.0,0,0,412,1,412.0,0.0,0.0995
1.0,1.5,24.299,1.0,0.2897,0.0,0.0,0.0,0,0,438,1,438.0,0.0,0.0913
1.0,1.5,23.0494,1.0,0.2897,0.0,0.0,0.0,0,0,438,1,438.0,0.0,0.0936
1.0,1.5,23.7433,1.0,0.2897,0.0,0.0,0.0,0,0,435,1,435.0,0.0,0.0897
1.0,1.5,26.2476,1.0,0.2897,0.0,0.0,0.0,0,0,437,1,437.0,0.0,0.0915
1.0,2.0,26.6911,1.0,0.2897,0.0,0.0,0.0,0,0,376,1,376.0,0.0,0.1436
1.0,2.0,30.1939,1.0,0.2897,0.0,0.0,0.0,0,0,371,1,371.0,0.0,0.1698
1.0,2.0,27.1343,1.0,0.2897,0.0,0.0,0.0,0,0,375,1,375.0,0.0,0.144
1.0,2.0,30.3362,1.0,0.2897,0.0,0.0,0.0,0,0,381,1,381.0,0.0,0.1312
1.0,2.0,26.1232,1.0,0.2897,0.0,0.0,0.0,0,0,394,1,394.0,0.0,0.1294
